ram_limit,cpu_limit,ram_usage,cpu_usage,n,lat99
3328M,0.5,657399808.0,0.497806,200,36915552
3328M,0.5,657399808.0,0.497831,200,36928190
3328M,0.5,673366016.0,0.498033,200,37083423
3328M,0.5,630833152.0,0.498033,200,36967477
3328M,0.5,614944768.0,0.498222,250,41585926
3328M,0.5,710168576.0,0.498123,250,42046580
3328M,0.5,707039232.0,0.498192,250,41948637
3328M,0.5,707039232.0,0.497925,300,44163001
3328M,0.5,702390272.0,0.498055,300,44311999
3328M,0.5,922238976.0,0.498192,300,44048445
3328M,0.5,850464768.0,0.497885,350,46659961
3328M,0.5,823652352.0,0.497747,400,47703886
3328M,0.5,1100742656.0,0.497374,400,47732918
3328M,0.5,1066872832.0,0.497513,400,48016631
3328M,0.5,1135427584.0,0.497268,450,48483384
3328M,0.5,1093603328.0,0.497255,450,48723646
3328M,0.5,1105494016.0,0.497631,450,48574875
3328M,0.5,1108152320.0,0.497651,450,48473870
3328M,0.5,955691008.0,0.497296,450,48418715
3328M,0.5,1100582912.0,0.498231,500,49180095
3200M,0.5,666361856.0,0.313607,50,228135
3200M,0.5,249008128.0,0.445809,50,270829
3200M,0.5,249008128.0,0.477308,50,262779
3200M,0.5,257347584.0,0.460035,50,266981
3200M,0.5,464912384.0,0.434018,100,18670643
3200M,0.5,463745024.0,0.432529,100,18731550
3200M,0.5,463745024.0,0.443165,100,18658353
3200M,0.5,429731840.0,0.453217,100,16671953
3200M,0.5,514633728.0,0.456534,100,16678397
3200M,0.5,551944192.0,0.464537,150,30265703
3200M,0.5,551944192.0,0.468875,150,30534221
3200M,0.5,563679232.0,0.473827,150,31174823
3200M,0.5,563679232.0,0.488594,150,30844235
3200M,0.5,539955200.0,0.498143,150,30779311
3200M,0.5,633585664.0,0.498058,200,37056428
3200M,0.5,757207040.0,0.498126,200,36609627
3200M,0.5,757207040.0,0.498212,200,36698572
3200M,0.5,672600064.0,0.498159,200,36956080
3200M,0.5,693555200.0,0.498101,250,41815875
3200M,0.5,693555200.0,0.4978,250,41664397
3200M,0.5,681185280.0,0.49782,250,42359420
3200M,0.5,807092224.0,0.497731,250,41769791
3200M,0.5,765988864.0,0.497735,300,44295075
3200M,0.5,866832384.0,0.498189,300,44430233
3200M,0.5,833957888.0,0.497647,300,44628983
3200M,0.5,809713664.0,0.498335,300,44734380
3200M,0.5,646066176.0,0.497738,300,44445301
3200M,0.5,922161152.0,0.497764,350,46988581
3200M,0.5,922161152.0,0.497993,350,46993822
3200M,0.5,822595584.0,0.49746,350,46724793
3200M,0.5,1088307200.0,0.498017,400,47999687
3200M,0.5,989581312.0,0.497983,400,47880661
3200M,0.5,1053499392.0,0.497556,400,47688008
3200M,0.5,1056120832.0,0.497454,400,47994748
3200M,0.5,905588736.0,0.496681,450,48691305
3200M,0.5,1127575552.0,0.497503,500,49040482
3200M,0.5,1008861184.0,0.497171,500,49497955
3200M,0.5,1273331712.0,0.497335,500,49267000
3072M,0.5,661561344.0,0.316658,50,263253
3072M,0.5,248971264.0,0.448445,50,202713
3072M,0.5,251125760.0,0.458509,50,295041
3072M,0.5,251125760.0,0.458509,50,262208
3072M,0.5,254824448.0,0.436347,50,210052
3072M,0.5,465068032.0,0.420824,100,18140883
3072M,0.5,465068032.0,0.430349,100,18596326
3072M,0.5,444919808.0,0.43745,100,17839721
3072M,0.5,453038080.0,0.448118,100,18233810
3072M,0.5,454373376.0,0.462495,100,17612372
3072M,0.5,550084608.0,0.4593,150,31024888
3072M,0.5,550084608.0,0.469759,150,31078120
3072M,0.5,529420288.0,0.477883,150,31241739
3072M,0.5,529420288.0,0.488022,150,30842236
3072M,0.5,548577280.0,0.498148,150,30707065
3072M,0.5,599539712.0,0.497814,200,37172389
3072M,0.5,674988032.0,0.498183,200,37176113
3072M,0.5,674988032.0,0.497872,200,37280591
3072M,0.5,676532224.0,0.49778,200,37428759
3072M,0.5,618831872.0,0.4981,200,36956515
3072M,0.5,784814080.0,0.498189,250,41766866
3072M,0.5,784814080.0,0.497904,250,41800218
3072M,0.5,760676352.0,0.49793,250,41937812
3072M,0.5,728174592.0,0.497896,250,41674911
3072M,0.5,755212288.0,0.498023,250,41825160
3072M,0.5,708943872.0,0.498023,300,44467549
3072M,0.5,883765248.0,0.497816,300,44229299
3072M,0.5,804888576.0,0.497839,300,44807860
3072M,0.5,791089152.0,0.497535,300,44038568
3072M,0.5,789065728.0,0.497776,300,44482592
3072M,0.5,901038080.0,0.497776,350,46866746
3072M,0.5,901038080.0,0.498068,350,46963339
3072M,0.5,1101127680.0,0.497826,400,47945867
3072M,0.5,1038684160.0,0.497889,400,48429625
3072M,0.5,977780736.0,0.497977,400,47860815
3072M,0.5,1159380992.0,0.498009,450,48539548
3072M,0.5,933232640.0,0.496777,450,48237345
3072M,0.5,1210474496.0,0.497167,450,48951285
3072M,0.5,1081180160.0,0.497326,450,48506673
3072M,0.5,908107776.0,0.496496,450,48486128
3072M,0.5,1251954688.0,0.497034,500,49223091
3072M,0.5,1008390144.0,0.497547,500,49238932
3072M,0.5,1234526208.0,0.497496,500,48955957
2944M,0.5,690462720.0,0.313857,50,201932
2944M,0.5,245145600.0,0.394419,50,206745
2944M,0.5,245293056.0,0.460781,50,267303
2944M,0.5,251166720.0,0.460175,50,226156
2944M,0.5,458141696.0,0.441768,100,18535229
2944M,0.5,453382144.0,0.431822,100,18162710
2944M,0.5,468938752.0,0.437857,100,18101251
2944M,0.5,468938752.0,0.447491,100,17358787
2944M,0.5,479178752.0,0.466513,100,17740866
2944M,0.5,623828992.0,0.459658,150,30608140
2944M,0.5,623828992.0,0.469768,150,30639369
2944M,0.5,571863040.0,0.477093,150,30838193
2944M,0.5,571863040.0,0.48821,150,30977591
2944M,0.5,558768128.0,0.490429,150,30940978
2944M,0.5,680087552.0,0.498243,200,37079191
2944M,0.5,680087552.0,0.498231,200,37100033
2944M,0.5,686698496.0,0.498306,200,37015412
2944M,0.5,627458048.0,0.498146,200,37653795
2944M,0.5,627458048.0,0.497989,200,37003316
2944M,0.5,697085952.0,0.497984,250,41338314
2944M,0.5,728330240.0,0.498027,250,41525505
2944M,0.5,722681856.0,0.498,250,41864377
2944M,0.5,719327232.0,0.497879,250,42059574
2944M,0.5,724332544.0,0.49788,250,41736646
2944M,0.5,832782336.0,0.497935,300,43918391
2944M,0.5,832782336.0,0.498044,300,44250084
2944M,0.5,826224640.0,0.498034,300,44254407
2944M,0.5,828039168.0,0.498131,350,46660193
2944M,0.5,1050763264.0,0.497895,350,46758451
2944M,0.5,948056064.0,0.497327,400,48008391
2944M,0.5,1109303296.0,0.49782,400,47745563
2944M,0.5,1049137152.0,0.497693,400,47874154
2944M,0.5,836718592.0,0.497721,400,47954738
