scenario,approach,algorithm,feature,source_table,importance
scenarioN_target_n,Join_All_BFS,RandomForest,scenarioN_target_n/python-web-server-performance.csv.lat75,python-web-server-performance.csv,0.005388518350544302
scenarioN_target_n,Join_All_BFS,RandomForest,scenarioN_target_n/python-web-server-performance.csv.lat95,python-web-server-performance.csv,0.0036516637734621328
scenarioN_target_n,Join_All_BFS,RandomForest,scenarioN_target_n/amf-performance.csv.lat75,amf-performance.csv,0.0016523736020964464
scenarioN_target_n,Join_All_BFS,RandomForest,scenarioN_target_n/amf-performance.csv.lat80,amf-performance.csv,0.0012104354210634937
scenarioN_target_n,Join_All_BFS,RandomForest,scenarioN_target_n/rabbitmq-performance.csv.time,rabbitmq-performance.csv,0.0
scenarioN_target_n,Join_All_BFS,RandomForest,scenarioN_target_n/python-web-server-performance.csv.c,python-web-server-performance.csv,-0.0008996293532618438
scenarioN_target_n,Join_All_BFS,RandomForest,scenarioN_target_n/golang-web-server-performance.csv.lat100,golang-web-server-performance.csv,-0.0013273642402104712
scenarioN_target_n,Join_All_BFS,RandomForest,scenarioN_target_n/python-web-server-performance.csv.lat98,python-web-server-performance.csv,-0.0013745787730982783
scenarioN_target_n,Join_All_BFS,RandomForest,scenarioN_target_n/amf-performance.csv.dt.dayofweek,amf-performance.csv.dt,-0.0015399495479186953
scenarioN_target_n,Join_All_BFS,RandomForest,scenarioN_target_n/amf-performance.csv.lat90,amf-performance.csv,-0.0018703570352471388
scenarioN_target_n,Join_All_BFS,RandomForest,scenarioN_target_n/golang-web-server-performance.csv.lat95,golang-web-server-performance.csv,-0.00231110924978708
scenarioN_target_n,Join_All_BFS,RandomForest,scenarioN_target_n/golang-web-server-performance.csv.lat80,golang-web-server-performance.csv,-0.002367701226858543
scenarioN_target_n,Join_All_BFS,RandomForest,scenarioN_target_n/amf-performance.csv.lat95,amf-performance.csv,-0.002918130392453122
scenarioN_target_n,Join_All_BFS,RandomForest,scenarioN_target_n/golang-web-server-performance.csv.ram_limit,golang-web-server-performance.csv,-0.0034182487419904817
scenarioN_target_n,Join_All_BFS,RandomForest,scenarioN_target_n/python-web-server-performance.csv.n,python-web-server-performance.csv,-0.003497547438986004
scenarioN_target_n,Join_All_BFS,RandomForest,scenarioN_target_n/amf-performance.csv.lat98,amf-performance.csv,-0.0035965200407481746
scenarioN_target_n,Join_All_BFS,RandomForest,scenarioN_target_n/golang-web-server-performance.csv.lat66,golang-web-server-performance.csv,-0.0045323956278011225
scenarioN_target_n,Join_All_BFS,RandomForest,scenarioN_target_n/python-web-server-performance.csv.cpu_usage,python-web-server-performance.csv,-0.006197144035822078
scenarioN_target_n,Join_All_BFS,RandomForest,scenarioN_target_n/amf-performance.csv.mean,amf-performance.csv,-0.0066251971209048575
scenarioN_target_n,Join_All_BFS,RandomForest,scenarioN_target_n/golang-web-server-performance.csv.lat75,golang-web-server-performance.csv,-0.007058953169596549
scenarioN_target_n,Join_All_BFS,RandomForest,scenarioN_target_n/golang-web-server-performance.csv.lat99,golang-web-server-performance.csv,-0.0073386111297978115
scenarioN_target_n,Join_All_BFS,RandomForest,scenarioN_target_n/golang-web-server-performance.csv.lat90,golang-web-server-performance.csv,-0.007632739549893586
scenarioN_target_n,Join_All_BFS,RandomForest,scenarioN_target_n/amf-performance.csv.dt,amf-performance.csv,-0.0079352006508266
scenarioN_target_n,Join_All_BFS,RandomForest,scenarioN_target_n/amf-performance.csv.lat50,amf-performance.csv,-0.010233591570047907
scenarioN_target_n,Join_All_BFS,RandomForest,scenarioN_target_n/amf-performance.csv.lat99,amf-performance.csv,-0.011225329717591137
scenarioN_target_n,Join_All_BFS,RandomForest,scenarioN_target_n/golang-web-server-performance.csv.lat50,golang-web-server-performance.csv,-0.011745648786214247
scenarioN_target_n,Join_All_BFS,RandomForest,scenarioN_target_n/golang-web-server-performance.csv.c,golang-web-server-performance.csv,-0.015898759065073875
scenarioN_target_n,Join_All_BFS,RandomForest,scenarioN_target_n/amf-performance.csv.lat100,amf-performance.csv,-0.016502135963813204
scenarioN_target_n,Join_All_BFS,RandomForest,scenarioN_target_n/amf-performance.csv.n,amf-performance.csv,-0.01721032525699684
scenarioN_target_n,Join_All_BFS,RandomForest,scenarioN_target_n/amf-performance.csv.time,amf-performance.csv,-0.017275745216837633
scenarioN_target_n,Join_All_BFS,RandomForest,scenarioN_target_n/golang-web-server-performance.csv.ram_usage,golang-web-server-performance.csv,-0.01830577266306932
scenarioN_target_n,Join_All_BFS,RandomForest,scenarioN_target_n/golang-web-server-performance.csv.time,golang-web-server-performance.csv,-0.019104997913889577
scenarioN_target_n,Join_All_BFS,RandomForest,scenarioN_target_n/golang-web-server-performance.csv.lat98,golang-web-server-performance.csv,-0.020017518491686558
scenarioN_target_n,Join_All_BFS,RandomForest,scenarioN_target_n/python-web-server-performance.csv.ram_limit,python-web-server-performance.csv,-0.022621544202684873
scenarioN_target_n,Join_All_BFS,RandomForest,scenarioN_target_n/golang-web-server-performance.csv.cpu_usage,golang-web-server-performance.csv,-0.06064238937466086
scenarioN_target_n,Join_All_BFS,RandomForest,scenarioN_target_n/python-web-server-performance.csv.time,python-web-server-performance.csv,-0.12168901813817286
scenarioN_target_n,Join_All_BFS_Filter,XGBoost,scenarioN_target_n/rabbitmq-performance.csv.ram_usage,rabbitmq-performance.csv,161.7271401849462
