scenarioB_seg01/amf-seg01-reduced.csv.time,scenarioB_seg01/amf-seg01-reduced.csv.ram_limit,scenarioB_seg01/amf-seg01-reduced.csv.cpu_limit,scenarioB_seg01/amf-seg01-reduced.csv.ram_usage,scenarioB_seg01/amf-seg01-reduced.csv.cpu_usage,scenarioB_seg01/amf-seg01-reduced.csv.n,scenarioB_seg01/amf-performance_seg02_20211112_151228.csv.ram_limit,scenarioB_seg01/amf-performance_seg02_20211112_151228.csv.ram_usage,scenarioB_seg01/amf-performance_seg02_20211112_151228.csv.time,scenarioB_seg01/amf-performance_seg02_20211112_151228.csv.cpu_limit,lat99
1636556634,1024000000,2.0,452956160.0,0.565214,140,1024000000,446738432.0,1636807685,1.5,5913636
1636556646,1024000000,2.0,461721600.0,0.525587,150,3840000000,462327808.0,1636798831,1.5,2200128
1636556659,1024000000,2.0,469921792.0,0.525587,160,2304000000,469581824.0,1636739170,4.0,2417162
1636556677,1024000000,2.0,480014336.0,0.609582,170,2048000000,518111232.0,1636835220,0.5,8216746
1636556690,1024000000,2.0,547336192.0,0.559604,180,1536000000,516972544.0,1636757692,3.5,3020787
1636556703,1024000000,2.0,558026752.0,0.640239,190,3072000000,557694976.0,1636735927,4.0,3077292
1636556720,1024000000,2.0,565583872.0,0.67778,200,768000000,564191232.0,1636808125,1.5,7107087
1636556742,1024000000,2.0,577294336.0,0.551738,210,512000000,536338432.0,1636772242,3.0,12060953
1636556955,2048000000,1.0,651325440.0,0.035575,10,1792000000,602877952.0,1636815228,1.0,215935
1636556965,2048000000,1.0,719437824.0,0.068594,20,3328000000,507670528.0,1636799616,1.5,345437
1636556976,2048000000,1.0,744603648.0,0.068594,30,1536000000,325783552.0,1636849767,3.5,533847
1636556987,2048000000,1.0,796844032.0,0.017263,40,2816000000,1616252928.0,1636830189,0.5,770195
1636556998,2048000000,1.0,885506048.0,0.070179,50,1024000000,712429568.0,1636836750,0.5,923519
1636557009,2048000000,1.0,935604224.0,0.070179,60,4096000000,625266688.0,1636747294,3.5,1017661
1636557021,2048000000,1.0,985243648.0,0.305094,70,768000000,852271104.0,1636807956,1.5,1925776
1636557032,2048000000,1.0,996851712.0,0.36166,80,2048000000,1854062592.0,1636741632,4.0,1366271
1636557044,2048000000,1.0,999796736.0,0.245186,90,1024000000,1762451456.0,1636745785,4.0,2090309
1636557056,2048000000,1.0,999796736.0,0.279892,100,3072000000,432267264.0,1636858644,3.0,1694194
1636557068,2048000000,1.0,434053120.0,0.279892,110,512000000,438013952.0,1636797487,2.0,1922816
1636557080,2048000000,1.0,439644160.0,0.427087,120,512000000,444276736.0,1636797499,2.0,2606540
1636557093,2048000000,1.0,445079552.0,0.541163,130,512000000,445648896.0,1636759049,3.5,2967786
1636557110,2048000000,1.0,451211264.0,0.664157,140,1024000000,446738432.0,1636807685,1.5,6007753
1636557122,2048000000,1.0,459395072.0,0.647166,150,3840000000,462327808.0,1636798831,1.5,2776249
1636557136,2048000000,1.0,466255872.0,0.367859,160,2304000000,469581824.0,1636739170,4.0,3638337
1636557151,2048000000,1.0,477401088.0,0.451518,170,2048000000,518111232.0,1636835220,0.5,5301408
1636557173,2048000000,1.0,533413888.0,0.609622,180,1536000000,516972544.0,1636757692,3.5,11878644
1636557194,2048000000,1.0,545959936.0,0.517588,190,3072000000,557694976.0,1636735927,4.0,11152028
1636557215,2048000000,1.0,552615936.0,0.507738,200,768000000,564191232.0,1636808125,1.5,10947212
1636557237,2048000000,1.0,565563392.0,0.558235,210,512000000,536338432.0,1636772242,3.0,11219046
1636557259,2048000000,1.0,575434752.0,0.765949,220,1280000000,587808768.0,1636786430,2.5,12474687
1636557280,2048000000,1.0,587612160.0,0.635734,230,1536000000,613822464.0,1636841867,4.0,11070257
